task_id,repetition,delta_completion_tokens,delta_prompt_tokens,delta_dynamic_energy_j,delta_wall_time_sec
cybersecurity_threat_model,1,765.0,686.0,1098.5266527644399,4.394397548981942
cybersecurity_threat_model,2,-49.0,450.0,-61.89550718524606,-0.250892043026397
cybersecurity_threat_model,3,-89.0,264.0,-130.38723489535005,-0.7640945610182825
cybersecurity_threat_model,4,86.0,403.0,-267.12715144562753,-0.3455017030064482
cybersecurity_threat_model,5,437.0,690.0,622.6341487435202,2.472925545007456
cybersecurity_threat_model,6,-70.0,406.0,-137.2809151811107,-0.7693937190051656
cybersecurity_threat_model,7,-122.0,325.0,-68.78604459289,-0.43027933899429627
cybersecurity_threat_model,8,-102.0,390.0,-248.53815643939197,-0.6882114220061339
cybersecurity_threat_model,9,731.0,1058.0,766.0173619023517,3.5215950590209104
cybersecurity_threat_model,10,449.0,565.0,593.404339547792,2.392936138989171
cybersecurity_threat_model,11,-143.0,274.0,-230.18383605438612,-0.9192251039785333
cybersecurity_threat_model,12,728.0,953.0,710.1629605894832,3.4772208750073332
cybersecurity_threat_model,13,-236.0,238.0,-310.8264566794851,-1.276065979996929
cybersecurity_threat_model,14,-1.0,356.0,-13.787638743637217,-0.07930579999811016
cybersecurity_threat_model,15,481.0,855.0,581.717502155163,2.8596625300124288
database_normalization_misconception,1,-28.0,452.0,10.309599215863273,0.005555840994929895
database_normalization_misconception,2,-142.0,429.0,-72.33806304121936,-0.7431166619935539
database_normalization_misconception,3,-787.0,-444.0,-1378.4803244716622,-5.126025712001137
database_normalization_misconception,4,-944.0,-680.0,-1282.340285978231,-5.532611967995763
database_normalization_misconception,5,577.0,956.0,910.6157076100599,4.044672234042082
database_normalization_misconception,6,278.0,493.0,341.57840051611856,1.5209441219922155
database_normalization_misconception,7,86.0,569.0,78.43390493383959,0.3805877089907881
database_normalization_misconception,8,-684.0,-251.0,-998.1032889584731,-4.071809807996033
database_normalization_misconception,9,-1133.0,-777.0,-1671.8780651836205,-7.522646279045148
database_normalization_misconception,10,-450.0,-35.0,-608.7894539448434,-2.9894314100092743
database_normalization_misconception,11,-425.0,-34.0,-535.778561770433,-2.401442519010743
database_normalization_misconception,12,-1062.0,-295.0,-1149.8493688511417,-5.133349816023838
database_normalization_misconception,13,401.0,798.0,614.7624356625847,2.5254508279904258
database_normalization_misconception,14,-367.0,-9.0,-434.15523101650797,-2.0486789240094367
database_normalization_misconception,15,-376.0,-236.0,-551.6490876492599,-2.479810902994359
gradient_descent_scaffolding,1,-282.0,105.0,-371.6473836110581,-1.5436079050123226
gradient_descent_scaffolding,2,-486.0,-91.0,-789.0948037510689,-3.088181603990961
gradient_descent_scaffolding,3,-888.0,-519.0,-1280.1828657816195,-5.287339094997151
gradient_descent_scaffolding,4,-509.0,-87.0,-701.2058075504392,-3.0648827700060792
gradient_descent_scaffolding,5,-902.0,-474.0,-1363.4904924484254,-5.537027693993878
gradient_descent_scaffolding,6,-262.0,24.0,-421.1581349043845,-1.2278085759899113
gradient_descent_scaffolding,7,-945.0,-563.0,-1502.0920668112403,-5.823179321014322
gradient_descent_scaffolding,8,-1544.0,-836.0,-2197.132290051728,-9.238167402974796
gradient_descent_scaffolding,9,-621.0,-317.0,-956.4779126342428,-3.559911126998486
gradient_descent_scaffolding,10,-72.0,217.0,-115.65086776664612,-0.531101540022064
gradient_descent_scaffolding,11,-722.0,-234.0,-1032.666924988992,-4.278871706977952
gradient_descent_scaffolding,12,-596.0,-294.0,-827.9210216332631,-3.4265389239881188
gradient_descent_scaffolding,13,-411.0,36.0,-383.37193286710135,-1.9004790609760676
gradient_descent_scaffolding,14,-471.0,-45.0,-633.5691451146149,-2.4496121959818993
gradient_descent_scaffolding,15,-540.0,-145.0,-862.0989605713075,-3.29404134300421
llm_agents_study_plan,1,-323.0,-75.0,-444.25750623446675,-1.7580622910172679
llm_agents_study_plan,2,-206.0,228.0,-295.69033700150794,-1.3346862990001682
llm_agents_study_plan,3,204.0,414.0,237.33611466912953,0.6810234919830691
llm_agents_study_plan,4,-91.0,110.0,30.204215892620596,0.5011297919845674
llm_agents_study_plan,5,-194.0,171.0,-122.77207134116725,-0.8964820060064085
llm_agents_study_plan,6,111.0,278.0,137.4877775918385,0.5934555029962212
llm_agents_study_plan,7,249.0,652.0,245.6898421462747,1.2403710060170852
llm_agents_study_plan,8,-681.0,-224.0,-826.9270971563947,-3.9057922659849282
llm_agents_study_plan,9,-767.0,-402.0,-984.2923021007755,-3.5815755570074543
llm_agents_study_plan,10,-230.0,-78.0,-239.38545992383752,-1.630407185992226
llm_agents_study_plan,11,-255.0,22.0,-489.99102722699354,-1.8905371689761523
llm_agents_study_plan,12,-83.0,47.0,-239.3616362429857,-0.2617260279657785
llm_agents_study_plan,13,138.0,429.0,284.00340076698467,0.9631847429845948
llm_agents_study_plan,14,-188.0,75.0,-258.47767285955433,-0.9618414749857038
llm_agents_study_plan,15,382.0,597.0,672.8464519459549,2.795359311014181
overfitting_adaptation,1,-100.0,354.0,-125.90374275237991,0.6289492080395576
overfitting_adaptation,2,-117.0,169.0,-248.38322452732973,-1.1282197109831031
overfitting_adaptation,3,-607.0,-115.0,-897.2942858580518,-3.705136679986026
overfitting_adaptation,4,-623.0,-248.0,-891.82693191624,-4.195538039988605
overfitting_adaptation,5,-117.0,308.0,-248.2204358334211,-1.1342331339837983
overfitting_adaptation,6,-147.0,25.0,-233.65842948664067,-1.0451816220011096
overfitting_adaptation,7,-322.0,-12.0,-459.6461367131478,-1.6423539190145675
overfitting_adaptation,8,154.0,334.0,-5.670411968177177,0.354205571959028
overfitting_adaptation,9,-775.0,-367.0,-953.4329223286177,-3.6114263140188996
overfitting_adaptation,10,-400.0,-242.0,-481.3788424419072,-2.5237530120066367
overfitting_adaptation,11,-527.0,-398.0,-668.5040754685142,-3.065950942982454
overfitting_adaptation,12,-178.0,29.0,-173.28554200426515,-1.2902739710116293
overfitting_adaptation,13,-905.0,-655.0,-1387.97409044684,-5.338632925006095
overfitting_adaptation,14,-267.0,134.0,-412.643322832525,-1.3852906239917502
overfitting_adaptation,15,-600.0,-138.0,-699.1744643160473,-3.5387851230043452
